Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	5171.256822006	5190.928949055	289.157	1943.775	14.3500	1429.688	rhino
2	Spectrogram 1	1	5196.120204804	5241.748610599	417.671	1445.783	40.3500	1265.625	rhino
3	Spectrogram 1	1	5440.437150046	5514.754074454	626.506	1269.076	69.8500	1132.812	short.argus
4	Spectrogram 1	1	5850.874279258	5867.540942452	481.928	1799.197	11.8500	1437.500	rhino
5	Spectrogram 1	1	5916.448036088	5947.322346596	289.157	2216.867	18.5500	1773.438	rhino
6	Spectrogram 1	1	5974.972670310	6054.754074454	594.378	1413.655	75.4500	1164.062	short.argus
7	Spectrogram 1	1	6516.338790244	6527.540973702	481.928	1413.655	6.5500	1148.438	female.gibbon
8	Spectrogram 1	1	6577.814187272	6592.021834586	514.056	1429.719	7.3500	1250.000	female.gibbon
9	Spectrogram 1	1	6651.038215733	6663.879743112	481.928	1413.655	8.4500	1234.375	female.gibbon
10	Spectrogram 1	1	6719.344212432	6731.366067851	530.120	1429.719	7.4000	1265.625	female.gibbon
11	Spectrogram 1	1	6809.836053108	6823.224028461	546.185	1381.526	8.2500	1210.938	female.gibbon
12	Spectrogram 1	1	6941.256790756	6953.278646175	481.928	1461.847	7.2500	1210.938	female.gibbon
13	Spectrogram 1	1	7043.116259620	7057.323906933	417.671	1461.847	9.2500	1398.438	female.gibbon
14	Spectrogram 1	1	7145.028806694	7158.963230020	481.928	1493.976	8.7000	1140.625	female.gibbon
