Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	646.918216719	730.565998035	742.515	1293.413	406.250	80.1040	812.500	1218.750	648.4880	728.5920	short.argus
2	Spectrogram 1	1	1777.232671646	1830.062849319	694.611	1389.222	500.000	49.7120	812.500	1312.500	1778.8240	1828.5360	short.argus
3	Spectrogram 1	1	2012.955949227	2064.842730870	646.707	1269.461	406.250	48.8720	781.250	1187.500	2014.5680	2063.4400	short.argus
4	Spectrogram 1	1	2145.660324096	2222.424925380	550.898	1221.557	312.500	66.5440	718.750	1031.250	2150.3520	2216.8960	long.argus
5	Spectrogram 1	1	2212.148598205	2258.060538325	526.946	1604.790	781.250	40.8160	781.250	1562.500	2212.9040	2253.7200	short.argus
6	Spectrogram 1	1	3978.060517492	3991.896992597	416.667	1527.778	687.500	8.1680	656.250	1343.750	3980.3840	3988.5520	female.gibbon
7	Spectrogram 1	1	4020.702074292	4033.280688024	472.222	1444.444	531.250	9.4240	656.250	1187.500	4022.6880	4032.1120	female.gibbon
8	Spectrogram 1	1	4074.475647995	4086.110865697	416.667	1388.889	468.750	9.4320	656.250	1125.000	4074.9040	4084.3360	female.gibbon
9	Spectrogram 1	1	4136.739785967	4148.689469012	472.222	1333.333	437.500	9.2640	656.250	1093.750	4138.0880	4147.3520	female.gibbon
10	Spectrogram 1	1	4185.167448834	4197.746062566	444.444	1361.111	500.000	8.8160	656.250	1156.250	4187.6800	4196.4960	female.gibbon
11	Spectrogram 1	1	4250.576240238	4264.098250000	444.444	1527.778	562.500	9.3680	656.250	1218.750	4254.1520	4263.5200	female.gibbon
12	Spectrogram 1	1	4324.035400681	4336.928479756	472.222	1333.333	468.750	9.1280	625.000	1093.750	4326.0480	4335.1760	female.gibbon
13	Spectrogram 1	1	4392.903310862	4408.312112683	472.222	1444.444	500.000	11.3200	656.250	1156.250	4394.6560	4405.9760	female.gibbon
14	Spectrogram 1	1	4476.551092178	4491.645428656	444.444	1361.111	468.750	12.8240	656.250	1125.000	4477.2880	4490.1120	female.gibbon
15	Spectrogram 1	1	4549.695787277	4566.047985128	472.222	1500.000	531.250	9.1200	656.250	1187.500	4554.2320	4563.3520	female.gibbon
16	Spectrogram 1	1	4645.293251638	4656.614003996	361.111	1361.111	531.250	9.0880	593.750	1125.000	4646.8640	4655.9520	female.gibbon
17	Spectrogram 1	1	4702.840409460	4717.305815252	416.667	1305.556	468.750	11.8240	656.250	1125.000	4704.6320	4716.4560	female.gibbon
18	Spectrogram 1	1	4790.261774895	4804.098250000	500.000	1388.889	406.250	9.8480	625.000	1031.250	4791.9360	4801.7840	female.gibbon
19	Spectrogram 1	1	4863.092004651	4877.557410443	583.333	1361.111	406.250	11.8400	656.250	1062.500	4863.2480	4875.0880	female.gibbon
20	Spectrogram 1	1	4917.808974384	4931.959914832	416.667	1472.222	468.750	10.8160	687.500	1156.250	4918.7200	4929.5360	female.gibbon
21	Spectrogram 1	1	4975.041666863	4989.507072655	500.000	1472.222	500.000	13.0960	656.250	1156.250	4975.8560	4988.9520	female.gibbon
22	Spectrogram 1	1	5130.890747248	5147.242945100	444.444	1361.111	437.500	14.3600	656.250	1093.750	5131.6960	5146.0560	female.gibbon
23	Spectrogram 1	1	5197.242934683	5210.450479101	472.222	1388.889	500.000	8.4000	656.250	1156.250	5200.7040	5209.1040	female.gibbon
24	Spectrogram 1	1	5267.054240894	5281.519646685	472.222	1555.556	500.000	8.0000	656.250	1156.250	5269.8560	5277.8560	female.gibbon
25	Spectrogram 1	1	5336.236616418	5354.664341785	472.222	1305.556	531.250	9.9760	656.250	1187.500	5339.9680	5349.9440	female.gibbon
26	Spectrogram 1	1	5412.840430294	5426.047974712	444.444	1305.556	531.250	9.1920	656.250	1187.500	5415.8240	5425.0160	female.gibbon
27	Spectrogram 1	1	5498.060538325	5511.582548087	333.333	1333.333	500.000	8.7840	656.250	1156.250	5501.7680	5510.5520	female.gibbon
28	Spectrogram 1	1	5600.890705582	5618.689500262	388.889	1250.000	406.250	14.7840	625.000	1031.250	5601.1440	5615.9280	female.gibbon
29	Spectrogram 1	1	5938.375024502	6001.582558504	611.111	1277.778	437.500	60.6720	750.000	1187.500	5939.5280	6000.2000	short.argus
