Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	1905.374947860	1949.364009734	273.092	835.341	37.6500	750.000	helmeted
2	Spectrogram 1	1	2789.473349328	2838.107218978	305.221	674.699	42.6000	617.188	helmeted
3	Spectrogram 1	1	2842.752026753	2865.429617657	417.671	658.635	18.6000	578.125	helmeted
4	Spectrogram 1	1	3727.068951161	3808.216475239	401.606	1317.269	68.6000	1179.688	rhino
5	Spectrogram 1	1	4752.150929816	4832.752005920	690.763	1253.012	76.7500	1179.688	short.argus
6	Spectrogram 1	1	4881.385875569	4915.538873918	755.020	1269.076	30.5000	1234.375	short.argus
7	Spectrogram 1	1	4947.014333447	4985.538915585	273.092	674.699	34.6500	601.562	helmeted
8	Spectrogram 1	1	4997.833994991	5103.298453893	289.157	578.313	95.1500	546.875	helmeted
9	Spectrogram 1	1	5277.123610542	5343.790263320	594.378	1092.369	58.4500	1054.688	long.argus
10	Spectrogram 1	1	5961.385875569	6042.260175660	626.506	1253.012	66.9500	984.375	long.argus
11	Spectrogram 1	1	5906.741078210	5959.473307662	706.827	1285.141	48.8000	1210.938	short.argus
12	Spectrogram 1	1	6737.779325194	6798.708274249	626.506	1317.269	51.5000	1085.938	long.argus
