Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	193.396186124	256.603720126	502.994	1317.365	218.750	58.2080	781.250	1000.000	196.1600	254.3680	long.argus
2	Spectrogram 1	1	1443.715827470	1461.475386612	0.000	2591.760	1125.000	15.8400	0.000	1125.000	1444.6560	1460.4960	rhino
3	Spectrogram 1	1	2542.021822974	2605.956235883	359.551	1857.678	1125.000	53.8800	437.500	1562.500	2548.2880	2602.1680	helmeted
4	Spectrogram 1	1	2948.633816371	3004.371509677	254.682	734.082	343.750	48.0560	312.500	656.250	2953.9440	3002.0000	helmeted
5	Spectrogram 1	1	3767.103759961	3823.387901241	434.457	1722.846	875.000	38.8480	500.000	1375.000	3779.1440	3817.9920	helmeted
6	Spectrogram 1	1	3827.486261043	3890.874225979	329.588	2337.079	1125.000	50.0240	468.750	1593.750	3839.4800	3889.5040	helmeted
7	Spectrogram 1	1	4639.842547074	4751.591157673	344.569	2501.873	937.500	71.1440	468.750	1406.250	4677.2480	4748.3920	helmeted
8	Spectrogram 1	1	5635.962783128	5709.186811589	214.433	1748.454	1218.750	64.8640	281.250	1500.000	5642.8080	5707.6720	helmeted
9	Spectrogram 1	1	5806.647196721	5819.761948087	527.835	1385.567	625.000	11.2480	625.000	1250.000	5807.2240	5818.4720	female.gibbon
10	Spectrogram 1	1	5861.372572234	5872.028307719	511.340	1319.588	500.000	7.4640	656.250	1156.250	5863.0800	5870.5440	female.gibbon
11	Spectrogram 1	1	5921.674495162	5934.242798554	560.825	1253.608	500.000	9.6880	656.250	1156.250	5923.1920	5932.8800	female.gibbon
12	Spectrogram 1	1	6219.816565801	6269.270107411	643.299	1171.134	437.500	42.5280	687.500	1125.000	6223.4320	6265.9600	long.argus
13	Spectrogram 1	1	6487.630773907	6525.335684085	313.402	775.258	312.500	31.9440	375.000	687.500	6491.3840	6523.3280	helmeted
