Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	2665.245852630	2745.628405795	706.827	1156.627	66.3500	1070.312	long.argus
2	Spectrogram 1	1	3609.999979167	3652.622921107	353.414	658.635	37.5000	625.000	helmeted
3	Spectrogram 1	1	3660.546416724	3686.775919456	369.478	642.570	23.6500	617.188	helmeted
4	Spectrogram 1	1	4406.612003814	4441.584674123	337.349	706.827	30.1000	664.062	helmeted
5	Spectrogram 1	1	5349.398861396	5400.764970913	337.349	658.635	45.3000	632.812	helmeted
6	Spectrogram 1	1	5987.814197689	6017.049164276	369.478	642.570	25.4500	625.000	helmeted
7	Spectrogram 1	1	6125.245863046	6177.158420537	867.470	1301.205	45.1500	1265.625	long.argus
8	Spectrogram 1	1	6816.120204804	6824.590148395	738.956	1140.562	7.0500	1078.125	short.argus
9	Spectrogram 1	1	6889.617457252	6949.999958333	530.120	1172.691	53.6000	1109.375	long.argus
10	Spectrogram 1	1	7048.034291382	7059.236474841	642.570	1092.369	7.8000	1046.875	short.argus
