Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	38.113194313	50.188661819	322.148	1422.819	875.000	10.4320	375.000	1250.000	38.8480	49.2800	female.gibbon
2	Spectrogram 1	1	149.622589557	213.698095257	456.376	1208.054	593.750	54.7040	468.750	1062.500	153.3920	208.0960	long.argus
3	Spectrogram 1	1	604.113166536	627.698064007	161.074	1046.980	718.750	18.9760	218.750	937.500	606.7360	625.7120	helmeted
4	Spectrogram 1	1	1202.490542256	1253.245241614	536.913	1395.973	375.000	44.2400	718.750	1093.750	1203.8400	1248.0800	short.argus
5	Spectrogram 1	1	1513.660358032	1583.471654547	751.678	1395.973	312.500	53.4720	937.500	1250.000	1526.6400	1580.1120	long.argus
6	Spectrogram 1	1	1585.924483884	1625.169753276	510.067	1234.899	468.750	33.3600	625.000	1093.750	1586.2880	1619.6480	short.argus
7	Spectrogram 1	1	2480.188661819	2557.169767165	134.228	2845.638	1812.500	54.6720	562.500	2375.000	2499.1840	2553.8560	rhino
8	Spectrogram 1	1	2904.565985456	2933.433899961	671.141	1395.973	593.750	24.7680	718.750	1312.500	2906.8000	2931.5680	short.argus
9	Spectrogram 1	1	3483.509405660	3508.415057390	563.758	1288.591	531.250	22.4000	625.000	1156.250	3483.9200	3506.3200	short.argus
10	Spectrogram 1	1	3734.282985784	3744.660340671	295.302	2228.188	1625.000	8.4480	437.500	2062.500	3734.8640	3743.3120	Noise
11	Spectrogram 1	1	4533.528272537	4566.924487356	805.369	1503.356	281.250	22.5760	1062.500	1343.750	4541.6000	4564.1760	Noise
