Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	1638.306007115	1674.098349385	374.532	853.933	343.750	28.2640	468.750	812.500	1640.2240	1668.4880	noise
2	Spectrogram 1	1	1893.319614977	1987.172081341	689.139	1348.315	406.250	78.2640	781.250	1187.500	1895.2800	1973.5440	short.argus
3	Spectrogram 1	1	2841.707591189	2896.953537568	693.446	1251.586	406.250	49.6800	750.000	1156.250	2843.2720	2892.9520	short.argus
4	Spectrogram 1	1	3104.057319558	3142.636602744	710.359	1285.412	437.500	34.3040	750.000	1187.500	3106.3280	3140.6320	short.argus
5	Spectrogram 1	1	3185.532768670	3197.281400102	541.226	1386.892	437.500	7.2880	656.250	1093.750	3186.2480	3193.5360	female.gibbon
6	Spectrogram 1	1	3248.920733607	3258.210349158	591.966	1336.152	531.250	7.4080	656.250	1187.500	3249.6480	3257.0560	female.gibbon
7	Spectrogram 1	1	3298.101051230	3307.663890767	490.486	1336.152	562.500	6.8960	656.250	1218.750	3299.2640	3306.1600	female.gibbon
8	Spectrogram 1	1	3379.521799294	3391.543654713	507.400	1336.152	531.250	7.9440	656.250	1187.500	3381.4400	3389.3840	female.gibbon
12	Spectrogram 1	1	3512.636581911	3521.652973475	591.966	1353.066	656.250	6.4560	656.250	1312.500	3513.7440	3520.2000	female.gibbon
13	Spectrogram 1	1	3911.931513320	3964.663742771	778.013	1539.112	406.250	40.2800	843.750	1250.000	3922.1280	3962.4080	long.argus
14	Spectrogram 1	1	3922.587248805	3990.073573543	727.273	1623.679	437.500	49.0320	812.500	1250.000	3928.5280	3977.5600	short.argus
15	Spectrogram 1	1	4143.133707195	4187.942441029	625.793	1268.499	437.500	40.4080	718.750	1156.250	4144.3520	4184.7600	short.argus
16	Spectrogram 1	1	4361.494373691	4404.663763604	608.879	1285.412	375.000	39.8480	718.750	1093.750	4362.9280	4402.7760	short.argus
17	Spectrogram 1	1	5797.286705544	5867.232046163	693.446	1285.412	343.750	66.8400	781.250	1125.000	5799.0800	5865.9200	short.argus
18	Spectrogram 1	1	6825.920596027	6893.953368739	541.226	1200.846	375.000	61.2880	687.500	1062.500	6828.7680	6890.0560	long.argus
19	Spectrogram 1	1	6895.319488673	6987.395972222	608.879	1353.066	562.500	85.7360	687.500	1250.000	6899.0800	6984.8160	short.argus
