Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	33.230147821	84.331160023	522.521	965.527	343.750	45.1360	531.250	875.000	36.0640	81.2000	Noise
2	Spectrogram 1	1	347.358474450	391.069157167	569.482	1252.860	500.000	33.2160	593.750	1093.750	348.6880	381.9040	short.argus
3	Spectrogram 1	1	423.459087526	449.559711019	379.655	1025.068	437.500	22.6880	468.750	906.250	425.3440	448.0320	Noise
4	Spectrogram 1	1	498.301839230	611.069167584	398.637	930.154	343.750	101.2960	468.750	812.500	503.6320	604.9280	Noise
5	Spectrogram 1	1	633.396206958	670.817582809	455.586	949.137	375.000	34.0160	531.250	906.250	635.3440	669.3600	Noise
6	Spectrogram 1	1	697.547136989	735.911908871	436.603	1006.085	375.000	34.7520	562.500	937.500	699.1520	733.9040	Noise
7	Spectrogram 1	1	757.295552214	789.999947917	417.620	1025.068	406.250	29.2800	562.500	968.750	758.6880	787.9680	Noise
8	Spectrogram 1	1	803.521957678	839.999937500	455.586	1006.085	375.000	33.1200	562.500	937.500	805.1520	838.2720	Noise
9	Spectrogram 1	1	880.754702241	894.905642689	550.499	930.154	281.250	10.3680	562.500	843.750	883.5680	893.9360	Noise
10	Spectrogram 1	1	902.452810928	946.477958988	474.568	930.154	250.000	37.3600	562.500	812.500	904.5280	941.8880	Noise
11	Spectrogram 1	1	1256.100592243	1280.314423677	265.758	1063.033	531.250	18.7680	375.000	906.250	1259.3280	1278.0960	helmeted
12	Spectrogram 1	1	1569.811274961	1588.679195558	303.724	816.257	468.750	14.9760	343.750	812.500	1572.2400	1587.2160	helmeted
13	Spectrogram 1	1	2168.301828813	2229.811306211	360.672	987.102	343.750	53.9680	500.000	843.750	2172.0640	2226.0320	Noise
14	Spectrogram 1	1	2360.943354363	2378.238948244	379.655	987.102	406.250	15.4720	468.750	875.000	2361.7920	2377.2640	Noise
15	Spectrogram 1	1	2547.924503734	2581.572295466	474.568	911.171	281.250	28.8960	562.500	843.750	2550.8640	2579.7600	Noise
16	Spectrogram 1	1	3068.742117794	3112.452800511	455.586	930.154	281.250	39.1520	562.500	843.750	3071.7920	3110.9440	Noise
17	Spectrogram 1	1	6400.565998035	6445.849007469	436.603	797.275	281.250	38.9440	468.750	750.000	6403.9680	6442.9120	Noise
18	Spectrogram 1	1	6757.987363470	6840.566018868	645.413	1176.929	281.250	67.4880	750.000	1031.250	6766.0160	6833.5040	long.argus
19	Spectrogram 1	1	6862.893058242	6943.081720781	493.551	1119.981	406.250	69.0080	593.750	1000.000	6866.6880	6935.6960	long.argus
20	Spectrogram 1	1	6967.924482901	7002.830136006	474.568	740.327	156.250	29.3440	531.250	687.500	6970.2400	6999.5840	Noise
21	Spectrogram 1	1	7088.502372445	7135.043243252	455.586	854.223	281.250	39.2160	500.000	781.250	7092.5920	7131.8080	Noise
