Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	3436.448046505	3448.469901924	530.120	1397.590	687.500	10.1920	593.750	1281.250	3437.3440	3447.5360	female.gibbon
2	Spectrogram 1	1	3508.305955032	3518.688466530	497.992	1445.783	656.250	8.9600	562.500	1218.750	3509.0080	3517.9680	female.gibbon
3	Spectrogram 1	1	3546.612014230	3558.087421676	514.056	1365.462	687.500	10.0480	562.500	1250.000	3547.5040	3557.5520	female.gibbon
4	Spectrogram 1	1	3643.879753529	3656.721280908	546.185	1381.526	718.750	10.7360	625.000	1343.750	3645.0720	3655.8080	female.gibbon
5	Spectrogram 1	1	3691.420727231	3701.803238730	417.671	1349.398	593.750	8.6720	562.500	1156.250	3692.3200	3700.9920	female.gibbon
6	Spectrogram 1	1	3733.497221198	3743.879732696	530.120	1493.976	750.000	9.1200	562.500	1312.500	3734.1280	3743.2480	female.gibbon
7	Spectrogram 1	1	3828.907093636	3839.016381148	433.735	1236.948	562.500	8.7680	531.250	1093.750	3829.4720	3838.2400	female.gibbon
8	Spectrogram 1	1	3978.907062386	3996.939845515	385.542	1510.040	625.000	15.4240	562.500	1187.500	3979.7280	3995.1520	female.gibbon
9	Spectrogram 1	1	4107.650261214	4123.770476434	449.799	1429.719	718.750	13.5200	562.500	1281.250	4109.2000	4122.7200	female.gibbon
10	Spectrogram 1	1	4225.683023509	4243.169358663	449.799	1381.526	531.250	15.3440	562.500	1093.750	4226.7840	4242.1280	female.gibbon
11	Spectrogram 1	1	4337.213111168	4347.322398679	449.799	1397.590	531.250	7.8560	593.750	1125.000	4338.7040	4346.5600	female.gibbon
12	Spectrogram 1	1	4397.868836236	4412.896155510	449.799	1365.462	593.750	11.9840	593.750	1187.500	4399.2000	4411.1840	female.gibbon
