Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	1969.573761612	1979.081955032	465.863	1445.783	625.000	5.6960	656.250	1281.250	1971.2320	1976.9280	female.gibbon
2	Spectrogram 1	1	2030.557346995	2043.016359062	562.249	1445.783	593.750	6.7520	656.250	1250.000	2033.7120	2040.4640	female.gibbon
3	Spectrogram 1	1	2104.983550660	2117.606497097	578.313	1526.104	593.750	6.8640	656.250	1250.000	2107.4240	2114.2880	female.gibbon
4	Spectrogram 1	1	2182.065547359	2193.049150102	546.185	1493.976	562.500	7.2960	656.250	1218.750	2183.9200	2191.2160	female.gibbon
5	Spectrogram 1	1	2254.688472962	2264.852403859	481.928	1493.976	531.250	6.8480	656.250	1187.500	2256.5440	2263.3920	female.gibbon
6	Spectrogram 1	1	2329.311454121	2338.655713172	514.056	1542.169	562.500	6.3520	656.250	1218.750	2330.8320	2337.1840	female.gibbon
7	Spectrogram 1	1	2421.934372780	2432.590106785	497.992	1413.655	562.500	7.2160	656.250	1218.750	2424.0480	2431.2640	female.gibbon
8	Spectrogram 1	1	2547.049139686	2560.327823600	465.863	1445.783	593.750	8.0640	656.250	1250.000	2549.7920	2557.8560	female.gibbon
9	Spectrogram 1	1	2471.147526696	2483.114735656	546.185	1493.976	750.000	9.8560	593.750	1343.750	2472.2720	2482.1280	female.gibbon
10	Spectrogram 1	1	2779.901630351	2791.704904941	465.863	1526.104	750.000	9.5680	593.750	1343.750	2781.1840	2790.7520	female.gibbon
11	Spectrogram 1	1	2724.786839139	2735.934376252	481.928	1574.297	750.000	9.0880	593.750	1343.750	2725.7600	2734.8480	female.gibbon
12	Spectrogram 1	1	2659.213091416	2669.868825421	449.799	1429.719	718.750	8.9280	593.750	1312.500	2660.5920	2669.5200	female.gibbon
13	Spectrogram 1	1	2599.540980988	2610.524583732	433.735	1461.847	750.000	8.8960	562.500	1312.500	2600.7360	2609.6320	female.gibbon
14	Spectrogram 1	1	3032.065533470	3048.458970401	385.542	1654.618	1093.750	14.0960	468.750	1562.500	3033.2640	3047.3600	helmeted
15	Spectrogram 1	1	3587.934417919	3606.295067281	321.285	1526.104	1062.500	15.8560	375.000	1437.500	3589.3440	3605.2000	helmeted
16	Spectrogram 1	1	3690.557333106	3705.967163821	481.928	738.956	187.500	13.9520	500.000	687.500	3691.0240	3704.9760	helmeted
17	Spectrogram 1	1	3703.672082650	3718.426175888	674.699	1333.333	406.250	12.9600	750.000	1156.250	3705.0400	3718.0000	short.argus
18	Spectrogram 1	1	4268.229488673	4290.032759791	321.285	674.699	250.000	18.9120	375.000	625.000	4270.1760	4289.0880	helmeted
19	Spectrogram 1	1	4420.885229622	4485.639305499	674.699	1236.948	343.750	62.4320	750.000	1093.750	4421.8080	4484.2400	short.argus
20	Spectrogram 1	1	4562.721302197	4579.278673497	337.349	835.341	406.250	14.0160	375.000	781.250	4563.8560	4577.8720	helmeted
21	Spectrogram 1	1	6416.524555954	6474.393388320	642.570	1317.269	406.250	56.1280	718.750	1125.000	6417.0720	6473.2000	short.argus
22	Spectrogram 1	1	6788.393391792	6828.754089765	658.635	1397.590	406.250	35.8880	750.000	1156.250	6790.0160	6825.9040	short.argus
