Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	426.557344433	469.453510360	224.900	1927.711	36.5500	1828.125	rhino
2	Spectrogram 1	1	3654.808713001	3666.010896459	530.120	1333.333	8.7500	1195.312	female.gibbon
3	Spectrogram 1	1	3700.710342782	3714.371542122	578.313	1301.205	11.8000	1218.750	female.gibbon
4	Spectrogram 1	1	3757.540932036	3771.202131375	546.185	1429.719	11.1000	1250.000	female.gibbon
5	Spectrogram 1	1	3802.131142930	3840.109277095	369.478	690.763	31.9000	656.250	helmeted
6	Spectrogram 1	1	3910.601065688	3929.726744763	353.414	738.956	16.6000	703.125	helmeted
7	Spectrogram 1	1	3955.136575535	3978.633838399	449.799	690.763	19.9000	679.688	helmeted
8	Spectrogram 1	1	3989.016349898	4017.704868511	321.285	642.570	24.6500	609.375	helmeted
9	Spectrogram 1	1	4053.005463855	4083.606550376	353.414	787.149	26.9000	781.250	helmeted
10	Spectrogram 1	1	4159.289594718	4200.819640710	321.285	594.378	35.6000	585.938	helmeted
11	Spectrogram 1	1	4408.569922757	4423.324018044	594.378	1381.526	11.2500	1132.812	female.gibbon
12	Spectrogram 1	1	4445.455160974	4460.209256261	578.313	1365.462	10.0500	1179.688	female.gibbon
13	Spectrogram 1	1	4497.367718465	4514.307605647	578.313	1445.783	13.0000	1109.375	female.gibbon
14	Spectrogram 1	1	4564.307595230	4577.149122609	514.056	1413.655	9.1000	1148.438	female.gibbon
15	Spectrogram 1	1	4615.810332593	4630.017979907	594.378	1413.655	10.0500	1140.625	female.gibbon
16	Spectrogram 1	1	4672.914145833	4689.580809028	626.506	1397.590	11.2500	1117.188	female.gibbon
17	Spectrogram 1	1	4715.263863786	4732.750198941	578.313	1365.462	15.2000	1109.375	female.gibbon
18	Spectrogram 1	1	4763.897733436	4778.925052596	530.120	1253.012	11.4500	1140.625	female.gibbon
19	Spectrogram 1	1	4872.968805100	4891.274812215	610.442	1317.269	14.2000	1132.812	female.gibbon
20	Spectrogram 1	1	4991.274791382	5008.761126537	562.249	1333.333	12.9500	1109.375	female.gibbon
21	Spectrogram 1	1	5183.679179133	5200.072618340	610.442	1349.398	10.6000	1171.875	female.gibbon
22	Spectrogram 1	1	5885.427779315	5898.269306694	514.056	1349.398	9.2500	1046.875	female.gibbon
23	Spectrogram 1	1	5914.662745902	5928.323945241	514.056	1397.590	10.0500	1226.562	female.gibbon
24	Spectrogram 1	1	5954.061701047	5967.996124374	497.992	1381.526	10.5000	1265.625	female.gibbon
25	Spectrogram 1	1	5995.864971027	6009.799394353	497.992	1349.398	10.5000	1242.188	female.gibbon
26	Spectrogram 1	1	6036.028897086	6052.422336293	546.185	1397.590	10.5000	1242.188	female.gibbon
27	Spectrogram 1	1	6080.017958959	6097.504294114	481.928	1381.526	11.5000	1234.375	female.gibbon
29	Spectrogram 1	1	6706.722830829	6743.061621072	273.092	642.570	31.3000	609.375	helmeted
28	Spectrogram 1	1	6906.504266223	6946.121744308	337.349	626.506	34.6000	609.375	helmeted
