Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	3202.754055043	3213.737657787	481.928	1381.526	593.750	8.7680	562.500	1156.250	3203.2480	3212.0160	female.gibbon
2	Spectrogram 1	1	3241.934369308	3253.934421391	353.414	1493.976	687.500	10.3840	562.500	1250.000	3242.6400	3253.0240	female.gibbon
3	Spectrogram 1	1	3255.245896346	3261.967205487	481.928	1333.333	437.500	4.3680	562.500	1000.000	3256.6080	3260.9760	female.gibbon
4	Spectrogram 1	1	3287.377032730	3299.344241689	433.735	1397.590	687.500	10.0000	531.250	1218.750	3288.0960	3298.0960	female.gibbon
5	Spectrogram 1	1	3335.245868568	3351.311436760	321.285	1413.655	687.500	12.7840	531.250	1218.750	3336.3200	3349.1040	female.gibbon
6	Spectrogram 1	1	3408.060831548	3418.552631183	401.606	1172.691	531.250	8.5920	500.000	1031.250	3409.1040	3417.6960	female.gibbon
7	Spectrogram 1	1	3422.327861794	3432.655727061	465.863	1333.333	625.000	8.6080	593.750	1218.750	3422.9280	3431.5360	female.gibbon
8	Spectrogram 1	1	3479.049153575	3489.540953210	433.735	1461.847	562.500	8.5280	593.750	1156.250	3480.0000	3488.5280	female.gibbon
9	Spectrogram 1	1	3545.606507514	3557.901585212	481.928	1413.655	625.000	9.8880	562.500	1187.500	3546.5440	3556.4320	female.gibbon
10	Spectrogram 1	1	3603.508183003	3617.934407502	385.542	1349.398	718.750	11.0560	500.000	1218.750	3605.0080	3616.0640	female.gibbon
11	Spectrogram 1	1	3663.672096539	3673.508158698	369.478	1349.398	468.750	6.8320	593.750	1062.500	3665.1680	3672.0000	female.gibbon
12	Spectrogram 1	1	3687.278645719	3703.016345173	497.992	1365.462	562.500	12.6400	593.750	1156.250	3688.0320	3700.6720	female.gibbon
13	Spectrogram 1	1	3738.295077698	3746.163927425	481.928	1204.819	375.000	4.6240	625.000	1000.000	3740.6400	3745.2640	female.gibbon
14	Spectrogram 1	1	3757.803267646	3769.278673497	433.735	1381.526	468.750	9.2960	593.750	1062.500	3758.6400	3767.9360	female.gibbon
15	Spectrogram 1	1	3816.327837489	3828.295046448	497.992	1349.398	531.250	9.3280	593.750	1125.000	3817.8560	3827.1840	female.gibbon
16	Spectrogram 1	1	5683.934421391	5694.262286658	481.928	1188.755	593.750	8.8960	531.250	1125.000	5684.6720	5693.5680	female.gibbon
17	Spectrogram 1	1	5714.590148452	5726.721291781	530.120	1140.562	500.000	9.9040	562.500	1062.500	5716.0640	5725.9680	female.gibbon
18	Spectrogram 1	1	6047.619616291	6063.357315745	305.221	674.699	218.750	14.4320	343.750	562.500	6048.3840	6062.8160	Noise
19	Spectrogram 1	1	6167.311471482	6241.245872040	610.442	1236.948	406.250	69.3280	687.500	1093.750	6169.7440	6239.0720	long.argus
20	Spectrogram 1	1	6339.816348645	6358.176998008	305.221	594.378	187.500	15.7440	343.750	531.250	6341.8240	6357.5680	Noise
21	Spectrogram 1	1	6363.914700934	6390.799937500	305.221	658.635	218.750	22.5440	343.750	562.500	6366.6400	6389.1840	Noise
22	Spectrogram 1	1	6470.832752846	6515.422901298	240.964	642.570	250.000	39.0240	281.250	531.250	6474.2400	6513.2640	Noise
23	Spectrogram 1	1	6740.406542236	6789.422918659	690.763	1301.205	500.000	45.5840	781.250	1281.250	6742.3360	6787.9200	short.argus
24	Spectrogram 1	1	6927.160632001	6971.095042976	289.157	674.699	218.750	38.6080	343.750	562.500	6930.0320	6968.6400	Noise
