Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	1801.420727231	1887.213059085	614.232	1288.390	375.000	73.6320	718.750	1093.750	1805.9600	1879.5920	short.argus
2	Spectrogram 1	1	1903.060050319	1944.644797359	614.232	1153.558	406.250	37.1680	687.500	1093.750	1904.1920	1941.3600	short.argus
3	Spectrogram 1	1	2201.530045993	2229.945340619	958.743	1398.821	343.750	23.4160	968.750	1312.500	2204.8400	2228.2560	long.argus
4	Spectrogram 1	1	2219.836053108	2326.120183971	581.532	1445.972	625.000	101.3440	687.500	1312.500	2221.2480	2322.5920	short.argus
5	Spectrogram 1	1	2736.065566257	2830.327841701	628.684	1288.802	468.750	89.3520	687.500	1156.250	2738.5200	2827.8720	short.argus
6	Spectrogram 1	1	2784.152987933	2838.524561305	235.756	581.532	281.250	46.0400	250.000	531.250	2788.3280	2834.3680	helmeted
7	Spectrogram 1	1	3033.387964936	3068.633859233	392.927	691.552	250.000	30.1600	437.500	687.500	3036.2880	3066.4480	helmeted
9	Spectrogram 1	1	3052.240420025	3142.677559654	707.269	1225.933	468.750	82.4400	750.000	1218.750	3055.1840	3137.6240	short.argus
8	Spectrogram 1	1	3102.513633595	3138.579199852	298.625	644.401	250.000	29.4000	343.750	593.750	3106.0160	3135.4160	helmeted
10	Spectrogram 1	1	3152.786847165	3182.841485713	345.776	644.401	250.000	26.7600	375.000	625.000	3155.0800	3181.8400	helmeted
11	Spectrogram 1	1	3752.520170423	3803.886279941	408.644	675.835	93.750	40.1520	468.750	562.500	3759.2720	3799.4240	helmeted
12	Spectrogram 1	1	3837.219606330	3850.880805669	392.927	644.401	187.500	11.4960	406.250	593.750	3838.3680	3849.8640	helmeted
13	Spectrogram 1	1	4124.705941485	4165.689539504	408.644	722.986	218.750	34.5440	468.750	687.500	4128.9520	4163.4960	helmeted
14	Spectrogram 1	1	4151.755116177	4186.454562500	597.250	1257.367	437.500	32.3680	718.750	1156.250	4153.3760	4185.7440	short.argus
15	Spectrogram 1	1	4363.831630977	4421.481892190	392.927	1807.466	1062.500	43.7200	500.000	1562.500	4376.8800	4420.6000	helmeted
16	Spectrogram 1	1	4423.394460098	4446.345274989	361.493	1964.637	1000.000	16.5280	468.750	1468.750	4428.6080	4445.1360	helmeted
17	Spectrogram 1	1	4953.285172587	4988.257842896	408.644	1728.880	1062.500	28.6000	531.250	1593.750	4957.9680	4986.5680	helmeted
18	Spectrogram 1	1	5007.164999032	5063.449140312	392.927	1854.617	1250.000	48.4160	468.750	1718.750	5013.7040	5062.1200	helmetd
19	Spectrogram 1	1	5202.246925603	5239.951835781	440.079	1037.328	531.250	33.7280	468.750	1000.000	5205.2000	5238.9280	helmeted
20	Spectrogram 1	1	5260.498335838	5288.913630464	958.743	1398.821	343.750	22.2320	968.750	1312.500	5265.3520	5287.5840	long.argus
21	Spectrogram 1	1	5281.536582821	5344.651323770	565.815	1257.367	406.250	58.0880	718.750	1125.000	5283.5520	5341.6400	short.argus
22	Spectrogram 1	1	5349.842579520	5407.766064720	455.796	1445.972	937.500	50.2960	500.000	1437.500	5355.5200	5405.8160	helmeted
23	Spectrogram 1	1	5421.973712033	5432.629447518	518.664	1398.821	687.500	9.2480	625.000	1312.500	5423.1360	5432.3840	rhino
24	Spectrogram 1	1	5496.563860428	5534.268770606	361.493	1713.163	1156.250	33.0560	531.250	1687.500	5499.7360	5532.7920	helmeted
25	Spectrogram 1	1	6258.749662739	6317.492819900	392.927	738.703	187.500	46.7600	468.750	656.250	6266.8320	6313.5920	helmeted
26	Spectrogram 1	1	6390.225101434	6443.503778859	345.776	1257.367	656.250	45.7280	500.000	1156.250	6396.3200	6442.0480	helmeted
27	Spectrogram 1	1	6458.531098133	6491.317976548	377.210	770.138	250.000	27.4640	437.500	687.500	6461.9440	6489.4080	helmeted
28	Spectrogram 1	1	6567.274244877	6631.536582821	361.493	628.684	93.750	51.7920	468.750	562.500	6573.2880	6625.0800	helmeted
