Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	253.657146118	319.504126935	592.920	1138.577	250.000	53.4640	750.000	1000.000	262.2800	315.7440	long.argus
2	Spectrogram 1	1	360.487724954	386.444003700	654.867	1247.788	312.500	23.0240	812.500	1125.000	361.2800	384.3040	short.argus
3	Spectrogram 1	1	545.788289048	600.979534381	646.018	1150.442	343.750	46.8000	781.250	1125.000	551.4240	598.2240	short.argus
4	Spectrogram 1	1	1642.728176230	1659.121615437	433.628	1371.681	656.250	8.8240	656.250	1312.500	1647.1680	1655.9920	rhino
5	Spectrogram 1	1	1852.618899135	1887.591569444	221.239	1407.080	812.500	26.5200	562.500	1375.000	1857.6480	1884.1680	rhino
6	Spectrogram 1	1	3003.110687728	3037.536910064	628.319	1221.239	312.500	29.5360	812.500	1125.000	3004.3920	3033.9280	argus.short
7	Spectrogram 1	1	4006.881195412	4160.979523964	539.823	1495.575	312.500	60.1840	937.500	1250.000	4099.7280	4159.9120	argus.long
8	Spectrogram 1	1	4154.476849328	4214.859350410	584.071	1212.389	312.500	38.5200	843.750	1156.250	4154.5360	4193.0560	argus.short
9	Spectrogram 1	1	4284.804691029	4315.405777550	716.814	1194.690	343.750	28.3760	781.250	1125.000	4285.8400	4314.2160	argus.short
10	Spectrogram 1	1	4622.837463741	4654.804670196	610.619	1247.788	406.250	26.8960	781.250	1187.500	4625.0880	4651.9840	argus.short
11	Spectrogram 1	1	4701.580672985	4750.487766621	672.566	1176.991	375.000	45.3040	750.000	1125.000	4703.9280	4749.2320	argus.short
12	Spectrogram 1	1	7134.373071209	7189.291092555	539.823	1283.186	343.750	51.3680	781.250	1125.000	7135.9200	7187.2880	argus.short
