Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	18.579231102	71.311460553	374.532	2037.453	1187.500	39.4960	562.500	1750.000	27.5200	67.0160	rhino
3	Spectrogram 1	1	705.573735997	771.693940801	622.568	1338.521	437.500	61.2880	718.750	1156.250	707.8000	769.0880	short.argus
5	Spectrogram 1	1	1641.120164105	1704.234905055	550.459	1284.404	531.250	59.0640	625.000	1156.250	1642.6400	1701.7040	short.argus
6	Spectrogram 1	1	1858.114710667	1955.928897939	642.202	1229.358	375.000	89.3760	718.750	1093.750	1860.0160	1949.3920	short.argus
7	Spectrogram 1	1	2184.945299920	2196.147483379	513.761	1302.752	593.750	8.2880	593.750	1187.500	2186.4240	2194.7120	female.gibbon
8	Spectrogram 1	1	2298.114731500	2310.136586919	495.413	1321.101	562.500	8.7440	593.750	1156.250	2299.5200	2308.2640	female.gibbon
9	Spectrogram 1	1	2437.458964765	2449.207596198	495.413	1247.706	468.750	7.8640	625.000	1093.750	2439.4880	2447.3520	female.gibbon
10	Spectrogram 1	1	3056.475397996	3163.032752846	697.248	1192.661	375.000	97.3760	812.500	1187.500	3060.8000	3158.1760	short.argus
11	Spectrogram 1	1	4815.273183288	4849.699405624	642.202	1284.404	437.500	31.6720	718.750	1156.250	4816.7840	4848.4560	short.argus
12	Spectrogram 1	1	5496.038237534	5565.710354167	605.505	1284.404	468.750	65.8960	687.500	1156.250	5498.1440	5564.0400	short.argus
13	Spectrogram 1	1	6121.010897427	6198.060061703	550.459	1266.055	500.000	72.2240	625.000	1125.000	6122.7760	6195.0000	short.argus
14	Spectrogram 1	1	6515.874259392	6553.305945583	623.853	1192.661	468.750	35.1840	687.500	1156.250	6516.7120	6551.8960	short.argus
15	Spectrogram 1	1	6908.333306523	6970.081927539	642.202	1229.358	406.250	59.4560	718.750	1125.000	6909.1120	6968.5680	short.argus
16	Spectrogram 1	1	7149.790710314	7200.063923884	458.716	935.780	281.250	43.0960	531.250	812.500	7155.2160	7198.3120	helmeted
