Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	1287.650229964	1311.967164788	764.045	1303.371	375.000	20.9200	843.750	1218.750	1288.8880	1309.8080	short.argus
2	Spectrogram 1	1	2089.453510360	2170.054586464	1048.689	1588.015	312.500	70.7040	1156.250	1468.750	2094.3840	2165.0880	noise
3	Spectrogram 1	1	2856.010896459	2928.415252960	626.263	1333.333	437.500	68.6400	781.250	1218.750	2857.0080	2925.6480	short.argus
4	Spectrogram 1	1	3062.349707536	3130.382480248	565.657	1252.525	312.500	60.2960	750.000	1062.500	3066.2320	3126.5280	long.argus
5	Spectrogram 1	1	4571.639291837	4619.999937500	686.869	1393.939	375.000	44.0000	812.500	1187.500	4572.5440	4616.5440	short.argus
6	Spectrogram 1	1	5919.180275956	5930.928907388	525.253	1373.737	562.500	7.6640	656.250	1218.750	5921.1360	5928.8000	female.gibbon
7	Spectrogram 1	1	5961.182717501	5969.999937500	454.545	1323.232	500.000	7.6080	625.000	1125.000	5961.8000	5969.4080	female.gibbon
8	Spectrogram 1	1	6009.165075117	6019.984193012	545.455	1414.141	500.000	6.5200	687.500	1187.500	6012.9200	6019.4400	female.gibbon
9	Spectrogram 1	1	6015.057630399	6068.960021342	606.061	1121.212	281.250	50.6400	718.750	1000.000	6015.8320	6066.4720	long.argus
10	Spectrogram 1	1	6076.978281366	6089.632785332	555.556	1424.242	593.750	7.4160	687.500	1281.250	6080.1520	6087.5680	female.gibbon
11	Spectrogram 1	1	6144.150107817	6158.084531144	585.859	1242.424	468.750	10.0080	656.250	1125.000	6146.1280	6156.1360	female.gibbon
12	Spectrogram 1	1	6194.969769361	6206.991624780	555.556	1484.848	625.000	8.2640	687.500	1312.500	6197.8320	6206.0960	female.gibbon
13	Spectrogram 1	1	6271.748621015	6285.136596368	545.455	1393.939	562.500	9.7200	687.500	1250.000	6273.2080	6282.9280	female.gibbon
14	Spectrogram 1	1	6326.120194387	6337.868825820	595.960	1333.333	562.500	8.6160	687.500	1250.000	6329.1360	6337.7520	female.gibbon
15	Spectrogram 1	1	6352.896145093	6365.737672473	606.061	1494.949	593.750	8.7840	687.500	1281.250	6355.3280	6364.1120	female.gibbon
16	Spectrogram 1	1	6375.300512010	6388.688487363	585.859	1323.232	562.500	7.7280	687.500	1250.000	6377.9520	6385.6800	female.gibbon
17	Spectrogram 1	1	6414.098318135	6425.846949567	575.758	1414.141	531.250	8.3040	687.500	1218.750	6414.3520	6422.6560	female.gibbon
18	Spectrogram 1	1	6438.142028973	6450.163884392	565.657	1383.838	562.500	8.3280	656.250	1218.750	6440.0160	6448.3440	female.gibbon
19	Spectrogram 1	1	6503.428313752	6515.176945184	616.162	1363.636	593.750	8.2800	656.250	1250.000	6505.7280	6514.0080	female.gibbon
20	Spectrogram 1	1	6522.827216815	6537.581312101	545.455	1494.949	593.750	8.3520	656.250	1250.000	6525.9920	6534.3440	female.gibbon
21	Spectrogram 1	1	6588.182450706	6600.204306125	565.657	1363.636	531.250	8.0720	687.500	1218.750	6589.7600	6597.8320	female.gibbon
22	Spectrogram 1	1	6624.794464936	6636.816320355	595.960	1404.040	562.500	8.5680	656.250	1218.750	6625.8800	6634.4480	female.gibbon
23	Spectrogram 1	1	6643.373696038	6654.302655510	525.253	1393.939	562.500	7.9040	656.250	1218.750	6645.5760	6653.4800	female.gibbon
24	Spectrogram 1	1	6690.368221767	6703.209749146	616.162	1414.141	531.250	9.5760	718.750	1250.000	6693.1760	6702.7520	female.gibbon
25	Spectrogram 1	1	6723.428324169	6735.996627561	606.061	1383.838	562.500	8.8320	687.500	1250.000	6726.0240	6734.8560	female.gibbon
26	Spectrogram 1	1	6744.739795139	6755.941978597	565.657	1323.232	500.000	7.7440	687.500	1187.500	6747.0000	6754.7440	female.gibbon
27	Spectrogram 1	1	6803.209728313	6814.411911771	585.859	1343.434	531.250	7.6560	687.500	1218.750	6805.6080	6813.2640	female.gibbon
28	Spectrogram 1	1	6816.870927652	6828.619559085	575.758	1565.657	781.250	7.3280	687.500	1468.750	6818.2640	6825.5920	female.gibbon
29	Spectrogram 1	1	6864.466602402	6877.308129781	535.354	1333.333	500.000	8.6080	687.500	1187.500	6866.4400	6875.0480	female.gibbon
30	Spectrogram 1	1	6912.007576104	6926.761671391	525.253	1323.232	531.250	12.3760	656.250	1187.500	6913.7760	6926.1520	female.gibbon
31	Spectrogram 1	1	6968.018493397	6981.133244763	565.657	1303.030	468.750	8.5440	687.500	1156.250	6970.8160	6979.3600	female.gibbon
32	Spectrogram 1	1	7047.253449567	7061.734320867	606.061	1303.030	468.750	9.7200	687.500	1156.250	7051.0160	7060.7360	female.gibbon
