Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	600.377345912	658.553434421	718.563	1485.030	531.250	50.4240	875.000	1406.250	603.4800	653.9040	long.argus
2	Spectrogram 1	1	1737.295573048	1749.245256093	622.754	1053.892	187.500	7.6560	750.000	937.500	1739.2160	1746.8720	short.argus
3	Spectrogram 1	1	2036.226384631	2109.811274961	670.659	1317.365	531.250	65.6880	750.000	1281.250	2040.4160	2106.1040	long.argus
4	Spectrogram 1	1	2260.943375197	2401.194918305	479.042	1125.749	437.500	134.0160	593.750	1031.250	2263.3600	2397.3760	short.argus
5	Spectrogram 1	1	2966.037680425	2973.584848664	287.425	1820.359	1093.750	4.7760	343.750	1437.500	2967.3280	2972.1040	rhino
6	Spectrogram 1	1	3105.220097615	3127.232671646	455.090	1820.359	1031.250	18.3280	531.250	1562.500	3106.9920	3125.3200	rhion
7	Spectrogram 1	1	3163.710651468	3177.861591916	200.717	2724.014	1625.000	6.3920	593.750	2218.750	3168.4160	3174.8080	rhino
8	Spectrogram 1	1	3220.628878603	3262.138303918	430.108	3469.534	1718.750	29.2560	593.750	2312.500	3231.1280	3260.3840	rhino
9	Spectrogram 1	1	3286.540870807	3297.547157822	57.348	3182.796	1968.750	7.8000	250.000	2218.750	3288.5760	3296.3760	rhino
10	Spectrogram 1	1	4395.786147733	4408.050296122	28.674	1634.409	31.250	11.0480	31.250	62.500	4396.3840	4407.4320	rhino
11	Spectrogram 1	1	4537.610017558	4544.528255110	0.000	2179.211	31.250	6.2480	0.000	31.250	4537.9600	4544.2080	rhino
12	Spectrogram 1	1	4554.276680752	4563.081710364	57.348	2293.907	1781.250	7.1600	62.500	1843.750	4555.1840	4562.3440	rhino
13	Spectrogram 1	1	5836.666631944	5899.874165946	544.803	1318.996	625.000	59.6960	593.750	1218.750	5838.4400	5898.1360	short.argus
14	Spectrogram 1	1	6525.215377031	6635.907177869	544.803	1376.344	687.500	104.0720	593.750	1281.250	6527.4720	6631.5440	short.argus
15	Spectrogram 1	1	6899.617874803	6967.542388954	602.151	1118.280	437.500	64.3920	656.250	1093.750	6901.4640	6965.8560	short.argus
