Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	128.961721767	170.491767760	497.409	1222.798	625.000	35.4880	531.250	1156.250	130.9760	166.4640	short.argus
2	Spectrogram 1	1	366.174843352	453.879743112	414.508	891.192	312.500	70.1040	468.750	781.250	379.6480	449.7520	helmeted
3	Spectrogram 1	1	463.442582650	508.524540471	310.881	911.917	500.000	39.3040	343.750	843.750	467.1360	506.4400	helmeted
4	Spectrogram 1	1	1227.814176856	1279.180286373	580.311	1181.347	343.750	47.9680	812.500	1156.250	1229.5200	1277.4880	short.argus
5	Spectrogram 1	1	1863.169348247	1933.442613900	663.212	1305.699	250.000	62.9520	812.500	1062.500	1866.2160	1929.1680	short.argus
7	Spectrogram 1	1	2109.125637409	2197.978134164	683.938	1430.052	562.500	86.9760	750.000	1312.500	2110.0720	2197.0480	short.argus
6	Spectrogram 1	1	2190.601086521	2253.442603484	269.430	1430.052	937.500	55.2240	406.250	1343.750	2197.8720	2253.0960	helmeted
8	Spectrogram 1	1	2510.054628131	2562.240409608	642.487	1326.425	562.500	48.0000	687.500	1250.000	2511.4160	2559.4160	short.argus
9	Spectrogram 1	1	2908.196677937	2936.885196551	704.663	1264.249	406.250	25.9760	781.250	1187.500	2908.9840	2934.9600	short.argus
10	Spectrogram 1	1	3050.327852117	3092.131122097	601.036	1139.896	437.500	37.3680	656.250	1093.750	3052.8560	3090.2240	long.argus
11	Spectrogram 1	1	4068.032783128	4125.683044342	373.057	829.016	312.500	47.2400	406.250	718.750	4074.7840	4122.0240	helmeted
12	Spectrogram 1	1	4148.633859233	4223.770455601	435.233	1430.052	843.750	63.8400	468.750	1312.500	4157.7120	4221.5520	helmeted
13	Spectrogram 1	1	5813.989041041	5897.049133026	290.155	642.487	250.000	66.8000	312.500	562.500	5825.7600	5892.5600	helmeted
14	Spectrogram 1	1	5854.152967099	5900.874268841	683.938	1430.052	468.750	32.0080	781.250	1250.000	5867.0400	5899.0480	long.argus
15	Spectrogram 1	1	5882.568261726	5966.994473645	559.585	1409.326	375.000	71.3120	750.000	1125.000	5884.6720	5955.9840	short.argus
16	Spectrogram 1	1	6028.251347735	6098.743136327	290.155	683.938	281.250	61.3920	312.500	593.750	6034.6400	6096.0320	helmeted
17	Spectrogram 1	1	6252.622941940	6359.726744763	352.332	601.036	187.500	94.4960	375.000	562.500	6262.2480	6356.7440	helmeted
18	Spectrogram 1	1	6349.071009278	6406.174822518	601.036	1388.601	343.750	53.5440	781.250	1125.000	6351.0160	6404.5600	short.argus
19	Spectrogram 1	1	6727.540932036	6738.469891507	725.389	1284.974	312.500	9.0880	843.750	1156.250	6728.0880	6737.1760	short.argus
20	Spectrogram 1	1	6790.983598019	6847.814187272	642.487	1119.171	281.250	43.0160	781.250	1062.500	6804.4160	6847.4320	long.argus
21	Spectrogram 1	1	6804.371573372	6908.196688354	538.860	1471.503	343.750	89.4720	781.250	1125.000	6815.2080	6904.6800	short.argus
