Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	286.939887181	327.923485200	614.232	1258.427	250.000	36.7280	843.750	1093.750	288.3520	325.0800	argus.short
2	Spectrogram 1	1	740.819630294	771.147492828	554.307	1288.390	281.250	28.1600	843.750	1125.000	742.0240	770.1840	short.argus
3	Spectrogram 1	1	897.431675774	930.491778176	584.270	1378.277	312.500	28.8640	812.500	1125.000	900.0480	928.9120	short.argus
4	Spectrogram 1	1	1226.994504895	1242.841496129	599.251	1213.483	250.000	13.8560	843.750	1093.750	1227.8080	1241.6640	short.argus
6	Spectrogram 1	1	1350.000000000	1386.885238217	958.801	1498.127	375.000	32.2000	1000.000	1375.000	1352.3520	1384.5520	noise
5	Spectrogram 1	1	1421.038236566	1462.568282559	554.307	1303.371	250.000	39.3120	843.750	1093.750	1422.1280	1461.4400	short.argus
7	Spectrogram 1	1	2049.289584301	2100.382469832	569.288	1243.446	218.750	48.1440	843.750	1062.500	2050.7440	2098.8880	short.argus
8	Spectrogram 1	1	3300.382501082	3322.513644012	599.251	1213.483	281.250	19.5360	812.500	1093.750	3301.7200	3321.2560	short.argus
10	Spectrogram 1	1	5092.786836749	5204.316924408	706.366	1281.314	468.750	104.9440	750.000	1218.750	5094.6560	5199.6000	short.argus
11	Spectrogram 1	1	5445.355181808	5538.251337318	164.271	706.366	343.750	74.8400	218.750	562.500	5458.9520	5533.7920	helmeted
12	Spectrogram 1	1	5515.573746414	5577.322367429	673.511	1297.741	468.750	52.8800	781.250	1250.000	5520.4640	5573.3440	long.argus
13	Spectrogram 1	1	5540.437129212	5625.136565118	312.115	1675.565	1125.000	78.2800	406.250	1531.250	5545.0400	5623.3200	helmeted
14	Spectrogram 1	1	5741.584684540	5803.333305556	837.782	1593.429	281.250	45.6480	906.250	1187.500	5756.7760	5802.4240	long.argus
15	Spectrogram 1	1	5755.519107867	5872.458974214	361.396	1889.117	718.750	101.0960	500.000	1218.750	5762.7360	5863.8320	helmeted
16	Spectrogram 1	1	5891.038205316	5953.879722279	394.251	2332.649	1750.000	53.7040	468.750	2218.750	5897.2080	5950.9120	helmeted
