Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	103.551890995	214.207605647	943.820	1423.221	343.750	96.6320	1031.250	1375.000	115.7360	212.3680	noise
2	Spectrogram 1	1	1802.240399192	1857.431644524	835.073	1519.833	531.250	47.0320	906.250	1437.500	1808.5840	1855.6160	argus.long
3	Spectrogram 1	1	1884.754043204	1895.683002675	684.760	1169.102	312.500	8.9360	750.000	1062.500	1885.6000	1894.5360	argus.short
4	Spectrogram 1	1	2185.901586009	2196.557321494	634.656	1185.804	250.000	7.8080	781.250	1031.250	2187.5600	2195.3680	argus.short
5	Spectrogram 1	1	2884.426199397	2960.109243739	567.850	1252.610	281.250	71.5280	843.750	1125.000	2886.5440	2958.0720	argus.short
6	Spectrogram 1	1	3035.984933914	3161.394743852	283.925	3039.666	1937.500	99.8720	468.750	2406.250	3058.1520	3158.0240	helmeted
7	Spectrogram 1	1	3261.316763889	3364.048982923	300.626	651.357	187.500	76.8320	375.000	562.500	3282.2800	3359.1120	helmeted
8	Spectrogram 1	1	3372.245702527	3394.103621471	367.432	751.566	187.500	14.9200	468.750	656.250	3376.5440	3391.4640	helemeted
9	Spectrogram 1	1	3575.032601776	3670.934221141	300.626	1636.743	1062.500	76.7600	468.750	1531.250	3591.5920	3668.3520	helmeted
10	Spectrogram 1	1	3678.203246015	3689.678653461	417.537	1319.415	687.500	9.3920	500.000	1187.500	3679.5280	3688.9200	female.gibbon
11	Spectrogram 1	1	3755.252410291	3767.001041724	450.939	1336.117	656.250	9.2960	562.500	1218.750	3756.5920	3765.8880	female.gibbon
12	Spectrogram 1	1	3921.816383197	4033.838217782	334.029	1453.027	406.250	32.3040	718.750	1125.000	3998.8720	4031.1760	helmeted
13	Spectrogram 1	1	3998.045875512	4111.707054019	467.641	1453.027	250.000	109.2400	812.500	1062.500	3999.2400	4108.4800	argus.short
14	Spectrogram 1	1	4145.095081455	4232.799981216	367.432	1937.370	1156.250	77.2320	468.750	1625.000	4154.0160	4231.2480	helmeted
15	Spectrogram 1	1	4431.761744649	4551.980298839	334.029	1920.668	1156.250	104.8320	468.750	1625.000	4443.0720	4547.9040	helmeted
16	Spectrogram 1	1	4657.772682776	4708.592344319	350.731	1803.758	1125.000	41.1920	468.750	1593.750	4665.0880	4706.2800	helmeted
17	Spectrogram 1	1	4758.592333903	4822.253522826	317.328	1636.743	625.000	5.9120	531.250	1156.250	4811.5280	4817.4400	helmeted
18	Spectrogram 1	1	4814.876475182	4886.187935735	551.148	1419.624	312.500	67.5120	812.500	1125.000	4816.6800	4884.1920	short.argus
19	Spectrogram 1	1	5878.032910918	5957.267867088	601.253	1252.610	281.250	74.2400	812.500	1093.750	5879.3680	5953.6080	short.argus
20	Spectrogram 1	1	6242.295186362	6336.830685792	250.522	734.864	250.000	71.6320	375.000	625.000	6263.3120	6334.9440	helmeted
21	Spectrogram 1	1	6334.153146972	6404.098487591	617.954	1202.505	312.500	58.9840	781.250	1093.750	6339.5120	6398.4960	long.argus
22	Spectrogram 1	1	6433.060230191	6514.207754269	267.223	651.357	250.000	64.8480	312.500	562.500	6444.7520	6509.6000	helmeted
23	Spectrogram 1	1	6587.751866633	6679.828350182	317.328	751.566	312.500	74.4240	437.500	750.000	6601.5680	6675.9920	helmeted
24	Spectrogram 1	1	6930.429447120	7018.134346881	217.119	1252.610	875.000	76.6000	375.000	1250.000	6937.8800	7014.4800	helmeted
25	Spectrogram 1	1	7035.945988046	7096.874937102	367.432	701.461	187.500	46.1840	437.500	625.000	7046.4880	7092.6720	helmeted
