Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	106.830578837	169.945319786	659.176	1138.577	343.750	54.8080	718.750	1062.500	109.9840	164.7920	argus.long
2	Spectrogram 1	1	382.295058572	430.655704235	726.592	1243.446	468.750	44.1760	750.000	1218.750	384.6240	428.8000	argus.short
3	Spectrogram 1	1	2255.081947404	2263.278667008	734.082	1123.596	281.250	5.7120	750.000	1031.250	2256.3040	2262.0160	short.argus
4	Spectrogram 1	1	3337.267739299	3365.683033925	734.082	1213.483	437.500	25.3600	750.000	1187.500	3339.0240	3364.3840	short.argus
5	Spectrogram 1	1	3553.442613900	3606.994515312	749.064	1235.955	437.500	47.5920	750.000	1187.500	3556.1520	3603.7440	short.argus
6	Spectrogram 1	1	3619.289594718	3662.458984631	367.041	659.176	93.750	34.6080	468.750	562.500	3625.2000	3659.8080	helmeted
7	Spectrogram 1	1	3766.010875626	3807.267697632	734.082	1235.955	468.750	38.2560	750.000	1218.750	3767.9200	3806.1760	short.argus
8	Spectrogram 1	1	3925.901608948	3984.917990096	674.157	1258.427	468.750	54.9120	750.000	1218.750	3927.4400	3982.3520	short.argus
9	Spectrogram 1	1	4981.311450137	5024.754064037	705.882	1228.758	468.750	41.0480	750.000	1218.750	4982.2720	5023.3200	short.argus
10	Spectrogram 1	1	5861.530014743	5964.262233777	662.309	1254.902	468.750	94.6720	750.000	1218.750	5862.6400	5957.3120	argus.short
